,smiles,split,indices
0,CC(C)CNC(=O)\C=C\c1oc(cc1)[N+](=O)[O-],train,
1,Clc1ccncc1,train,
2,COC(=O)c1ccc(O)cc1,train,
3,Fc1ccc(F)c2c1ccc3cccnc23,train,
4,CCC(C)C,train,
5,Cc1cccc(NC(=O)c2csc(c2)[N+](=O)[O-])c1,train,
6,Nc1ccc(c(Cl)c1)c2ccc(N)cc2Cl,train,
7,OCc1c(O)c2C(=O)c3ccccc3C(=O)c2cc1OC4OC(COC5OCC(O)C(O)C5O)C(O)C(O)C4O,train,
8,COC(=O)C1=C(C(C)OC1=O)c2ccccc2,train,
9,COC(=O)c1cc(ccc1N)c2ccc(N)c(c2)C(=O)OC,train,
10,O[C@H]1[C@H](O)[C@H](O[C@H]([C@@H]1O)C(=O)O)N(O)c2ccc(cc2)c3ccccc3,train,
11,CCCCCC(C)(O)\C=C\C1C(O)CC(=O)C1C\C=C\CCCC(=O)O,train,
12,CC1CCc2c(N3CCC(O)CC3)c(F)cc4C(=O)C(=CN1c24)C(=O)O,train,
13,C[C@@H]1O[C@@H](O[C@H]2C[C@](O)(CO)Cc3c(O)c4C(=O)c5ccccc5C(=O)c4c(O)c23)[C@H](I)[C@H](O)[C@@H]1O,train,
14,BrC=C,train,
15,[O-][N+](=O)c1ccc(\C=C\c2cccc(c2)[N+](=O)[O-])cc1,train,
16,ClP(=O)(N1CCOC1=O)N2CCOC2=O,train,
17,COc1cccc(C=O)c1O,train,
18,NC1=NC(=O)N(C=C1)[C@H]2O[C@@H](COP(=O)(O)O)[C@H](O)[C@H]2O,train,
19,CCC(=O)OCc1cccc(c1)[N+](=O)[O-],train,
20,Nc1ccc(cc1C#N)[N+](=O)[O-],train,
21,CCN(CC[N+](C)(C)C)c1ccc(cc1)N=Nc2ccc(cc2Cl)[N+](=O)[O-],train,
22,CCc1c(Br)c(Br)c(Br)c(Br)c1Br,train,
23,OCNC(=O)CCl,train,
24,NC1=NC(=O)N(C=C1I)C2CC(O)C(CO)O2,train,
25,CN(C)c1ccc(cc1)N=Nc2ccc(NC(=O)C)cc2,train,
26,C1c2ccccc2Cc3c1c4ccccc4c5ccccc35,train,
27,OC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)COc3ccc(Cl)cc3Cl,train,
28,Fc1cnc2ccccc2c1,train,
29,CC1(CCC2(C)C(C1)C(=O)CC3C4(C)CCCC23OC4=O)C=C,train,
30,CC(=O)N=C1C=CC(=O)C=C1,train,
31,CC[C@]1(O)C[C@H](O[C@@H]2C[C@H](N)[C@@H](O)[C@H](C)O2)c3c(O)c4C(=O)c5c(O)ccc(O)c5C(=O)c4cc3[C@H]1C(=O)OC,train,
32,OS(=O)(=O)c1ccc(cc1[N+](=O)[O-])[N+](=O)[O-],train,
33,CC(=O)\C=C\c1occc1,train,
34,C[C@H]1C[C@H](OC(=O)C)O[C@H](C)O1,train,
35,[O-][N+](=O)c1ccc2ccc3ccc(c4ccc1c2c34)[N+](=O)[O-],train,
36,[O-][N+](=O)c1cnc(s1)N2CCN(C(=O)C(Cl)Cl)C2=O,train,
37,CCN(CC)C(=O)c1cccc(C)c1,train,
38,COC(=O)c1ccc(CN(C)N=O)cc1,train,
39,Oc1ccc(O)c(O)c1,train,
40,Cc1cc2c(O)cccc2c3cc4ccccc4cc13,train,
41,C\C\1=C\CCC(=C)[C@@H]2CC(C)(C)[C@@H]2CC1,train,
42,Cc1ccc(NC(=O)N)cc1,train,
43,CC(=O)N(O)c1ccc2ccc3cccc4ccc1c2c34,train,
44,Oc1ccc(O)c2c(O)c3ccccc3c(O)c12,train,
45,Oc1c(I)cc2c(Oc3c(I)c(O)c(I)cc3C24OC(=O)c5ccccc45)c1I,train,
46,CC(C)(C)OCO,train,
47,OC1C2OC2c3cc4c5ccccc5c6ccccc6c4cc3C1O,train,
48,C[C@@H]1O[C@@H]1C,train,
49,CC(C)CCC[C@@H](C)[C@@H]1CC[C@H]2[C@@H]3C[C@@H]4N(N5C(=O)c6ccccc6C5=O)[C@@]47C[C@H](CC[C@]7(C)[C@H]3CC[C@]12C)OC(=O)C,train,
50,Cc1ccc2cc3c(ccc4ccccc34)c5C(Cc1c25)OS(=O)(=O)O,train,
51,CC(C)(Cl)[N+](=O)[O-],train,
52,Nc1ccc(cc1)c2ccc(N)cc2[N+](=O)[O-],train,
53,COc1cc(NS(=O)(=O)C)ccc1Nc2c3ccccc3nc4ccccc24,train,
54,CN(C)CCNC(=O)c1ccc2c(N)c3ccccc3nc2c1,train,
55,Clc1ccccc1Cl,train,
56,Cc1cc(Cc2ccc(N)c(C)c2)ccc1N,train,
57,Nc1ccc2cc3ccc(N)cc3nc2c1,train,
58,CC\C(=C(\c1ccc(OCCN(C)C)cc1)/c2ccc(OP(=O)(O)O)cc2)\c3ccc(cc3)C(C)C,train,
59,CC(=O)CC(C)(C)O,train,
60,Br[C@H]1CCN(C[C@@H]1Br)N=O,train,
61,C[C@H]1CS(=O)(=O)CCN1\N=C\c2oc(cc2)[N+](=O)[O-],train,
62,CC1CCC2CC1C2(C)C,train,
63,C=CC(=O)OCCOCCOC(=O)C=C,train,
64,Fc1cccc2ncccc12,train,
65,CCC(=O)N(O)c1ccc(\C=C\c2ccccc2)cc1,train,
66,CC(=O)C1C(=O)C=C2Oc3c(C(=O)C)c(O)c(C)c(O)c3C2(C)C1=O,train,
67,CC(C)CCCC(C)C1CCC2C3CC=C4CC(CCC4(C)C3CCC12C)OCCOCCO,train,
68,OCC(O)C(O)C(O)C(O)C=O,train,
69,CCN(C(=O)C)c1ccc2c(Cc3ccccc23)c1,train,
70,[O-][N+](=O)c1ccc2c(Cl)nsc2c1,train,
71,[O-][N+](=O)c1ccc(Nc2ccc(cc2)N=C=S)cc1,train,
72,c1ccc2[nH]c(nc2c1)c3cscn3,train,
73,CC(=C)C(=O)OC[C@H]1CO1,train,
74,CCCCN(N=O)C(=N)N[N+](=O)[O-],train,
75,CC1(C)N(Cl)C(=O)N(Cl)C1=O,train,
76,CC(=C)C,train,
77,Clc1cccc2C(=O)c3c(NC(=O)c4ccccc4)cccc3C(=O)c12,train,
78,CCCC[C@@H](CC)COC(=O)c1ccc(N(C)C)c(c1)[N+](=O)[O-],train,
79,CN(N=O)C(=O)Oc1ccc(C)c(C)c1C,train,
80,O=C1C=Cc2c(cc3ccc4cccc5ccc2c3c45)C1=O,train,
81,[O-][N+](=O)c1oc2cc(ccc2c1)N(CCCl)CCCl,train,
82,CCc1cccc2c3CCOC(CC)(CC(=O)O)c3[nH]c12,train,
83,CC(C)CCCCCOC(=O)c1ccccc1C(=O)OCCCCCC(C)C,train,
84,OC(=O)CCCc1ccc(NCCCl)cc1,train,
85,Cc1ccc(CC2CO2)cc1,train,
86,BrC(Br)Br,train,
87,CC(=O)Oc1c(OC(=O)C)c2c(ccc3c4ccccc4c5cccc1c5c23)[N+](=O)[O-],train,
88,OCCNCCN1C(=O)c2ccccc2C3=C1c4ccccc4C3=O,train,
89,CC(C)(C)OC[C@H]1CO1,train,
90,CC(=O)n1ccnc1,train,
91,CC(\C=C(/C#N)\c1ccc(Cl)c(Cl)c1)C(C(C#N)c2ccc(Cl)c(Cl)c2)c3ccccc3,train,
92,Oc1ccc(\C=N\c2snc3ccccc23)cc1,train,
93,NNC(=O)c1ccncc1,train,
94,Clc1c(Cl)c(C#N)c(Cl)c(C#N)c1Cl,train,
95,CC(=O)N(O)c1ccc(Cl)cc1,train,
96,Nc1c2ccccc2nc3ccc(cc13)[N+](=O)[O-],train,
97,BrCc1ccccc1CBr,train,
98,CC(=O)Nc1ccnc2ccccc12,train,
99,CN(C)CCNC(=O)c1cccc2C(=O)c3ccccc3C(=O)c12,train,
100,C[C@@H](O)CN(C[C@@H](C)O)C[C@@H](C)O,train,
101,CC(N(C)C)c1ccccc1,train,
102,Cc1ccccc1S(=O)(=O)N,train,
103,Oc1c2c3ccccc3c4ccc5ccc6cccc1c6c5c24,train,
104,CC1CC(C)(C)c2cc(C(=O)C)c(C)cc2C1(C)C,train,
105,Cc1cc(N)sn1,train,
106,COC1=CC(=O)c2c([nH]cc3c4CCCCc4nc23)C1=O,train,
107,C1COCC2(C1)CO2,train,
108,[O-][N+](=O)c1oc(cc1)c2csc(NC(=O)C(F)(F)F)n2,train,
109,Oc1cc2OCOc2cc1N=O,train,
110,[O-][N+](=O)c1ccc2ccc3ccc(cc3c2c1)[N+](=O)[O-],train,
111,CCCCCC(=O)Cc1cc(O)cc2Oc3c(CCCCC)c(C(=O)O)c(O)cc3OC(=O)c12,train,
112,CN(C)c1ccc(\C=C\C2=CC(=C(C#N)C#N)C=C(C)O2)cc1,train,
113,Nc1[nH]cnc2nc(nc12)c3ccc(cc3)[N+](=O)[O-],train,
114,Cc1ccccc1N=Nc2ccc(N)c(C)c2N,train,
115,OC(=O)c1ccc(cc1)S(=O)(=O)N(Cl)Cl,train,
116,COc1ccc2nccc([C@@H](O)[C@@H]3C[C@@H]4CCN3C[C@@H]4C=C)c2c1,train,
117,ClCCCBr,train,
118,CCc1ccc(C)nc1,train,
119,CC(C)COC(=O)Cc1ccccc1,train,
120,CCOCCOCCO,train,
121,OCCn1c(CO)ncc1[N+](=O)[O-],train,
122,Oc1cccc2ccc[n+]([O-])c12,train,
123,C1c2ccc3ccccc3c2Cc4ccc5ccccc5c14,train,
124,O[C@@H]1[C@H]2O[C@H]2c3cc4ccc5cccc6ccc(c3[C@@H]1O)c4c56,train,
125,ClCN1C(=O)c2ccccc2C1=O,train,
126,Oc1c2ccoc2nc3ccccc13,train,
127,C\C=C/C=C\C(=O)O,train,
128,Cc1c2C3NC3c4ccccc4c2c(C)c5ccccc15,train,
129,CCNC(=O)CCC(N)C(=O)O,train,
130,[O-][N+](=O)c1ccccc1[N+](=O)[O-],train,
131,CCCCCCCCCCCCCCCC(=O)OCC(O)C1OC(=C(O)C1=O)O,train,
132,Nc1ccc(Cc2ccc(N=O)c(Cl)c2)cc1Cl,train,
133,COc1ccc2Oc3cc(O)cc(O)c3C(=O)c2c1,train,
134,Cc1nnc(O)nc1O,train,
135,OCCc1c[nH]c2cc(ccc12)[N+](=O)[O-],train,
136,Nc1cc(Cl)c(Cl)c(Cl)c1,train,
137,Cc1cc(C)c(C)c(C)c1,train,
138,Cc1c(C)c(Br)c(Br)c(Br)c1Br,train,
139,NC1=C(Cl)C(=O)N(N=C1)c2ccccc2,train,
140,COC(=O)CCCCC(=O)OC,train,
141,C[Si](C)(C)N=N#N,train,
142,Cc1ccc(N)cc1C,train,
143,NC1(CCCC1)C(=O)O,train,
144,CCCOC(=O)c1cc(O)c(O)c(O)c1,train,
145,C(Oc1ccccc1c2ccccc2)C3CO3,train,
146,CC1Cc2c(O)c(C)c3C4C(CCC(=C)c3c2C1=O)C4(C)C,train,
147,Nc1nc(O)c2nc(CNc3ccc(cc3)C(=O)N[C@@H](CCC(=O)O)C(=O)O)cnc2n1,train,
148,ONC(=O)c1ccccc1,train,
149,C1COCCOCCOCCOCCOCCO1,train,
150,OC1C=Cc2c(ccc3ncccc23)C1O,train,
151,COC(=O)c1cc2OCOc2c3c4cccc(OC)c4cc(c13)[N+](=O)[O-],train,
152,Cc1ccc(cc1)C(=O)ON(OCc2ccccc2)C(=O)c3ccccc3,train,
153,CCCCCCOC[C@H]1CO1,train,
154,N\C(=N/O)\c1ccc(O)c(O)c1,train,
155,CC(C)CC(=O)CC(C)C,train,
156,ClCc1cccnc1,train,
157,CCOCC(=O)O,train,
158,ClC(=C(Cl)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)Cl,train,
159,COc1c2OC(=O)C=Cc2cc3ccoc13,train,
160,Oc1ccc2c(O)cccc2c1,train,
161,COP(=O)(OC)C(OC(=O)CCl)C(Cl)(Cl)Cl,train,
162,[O-][N+](=O)c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-],train,
163,COC1=C(N)C(=O)c2nc(ccc2C1=O)c3nc(C(=O)O)c(C)c(c3N)c4ccc(OC)c(OC)c4O,train,
164,Oc1cccc2ccc3c4ccccc4ccc3c12,train,
165,CC=O,train,
166,Brc1ccc(CN2C3C2c4ccccc4c5ccccc35)cc1,train,
167,CC(=O)Nc1cc2Cc3ccccc3c2cc1Cl,train,
168,ONc1ccc(Sc2ccccc2)cc1,train,
169,O=C1c2ccccc2c3ccc4ccc5ccccc5c4c13,train,
170,Nc1ccc2ccc3ccc(c4ccc1c2c34)[N+](=O)[O-],train,
171,CCOC(=O)C1OC1C(=O)NC(CC(C)C)C(=O)NCCC(C)C,train,
172,CCOC(=O)CBr,train,
173,Oc1c(Cl)cc(Cl)cc1NC(=O)c2c(O)c(Cl)cc(Cl)c2Cl,train,
174,CC(C)COC(=O)C(=C)C#N,train,
175,CC1C2C(=Nc3ccccc23)N(C)c4c(C)cccc14,train,
176,CC(C)NCC(O)c1ccc(NS(=O)(=O)C)cc1,train,
177,COc1ccccc1NC(=O)[C@H](N=Nc2ccc(cc2OC)[N+](=O)[O-])C(=O)C,train,
178,CN(C)\C=N\c1ccc(Cl)cc1C,train,
179,COc1ccc(cc1[N+](=O)[O-])C2=C(C(=O)c3ccccc3O2)[N+](=O)[O-],train,
180,Cc1c(C)c(N)c(C)c(C)c1N,train,
181,CCCCOO,train,
182,Oc1cc2ccc3cccc4ccc(n1)c2c34,train,
183,[O-][N+](=O)c1cccc(\C=N\c2snc3ccccc23)c1,train,
184,ONc1ccc(Cl)cc1,train,
185,Cc1cccn2c1nc3ccc(N)nc23,train,
186,OC1C(O)c2cc3ccc4cccc5ccc(c2C(O)C1S(=O)(=O)O)c3c45,train,
187,Cc1ccc(N)cc1[N+](=O)[O-],train,
188,Oc1cc(Cl)cc(Cl)c1,train,
189,Cc1cc2[nH]c(C)nc2c3c1ccc4ccc(O)cc34,train,
190,NC(=O)N(c1ccccc1)c2ccccc2,train,
191,CC1CC2C(Cc3c[nH]c4cccc2c34)N(C)C1,train,
192,CCOP(=O)(NC(C)CC)Oc1cc(C)ccc1[N+](=O)[O-],train,
193,[O-][N+](=O)c1cnc(NC(=O)NCCCl)s1,train,
194,CC(C)COS(=O)(=O)c1ccc(C)cc1,train,
