,smiles,split,indices
0,CCC(CO)(CO)CO,train,
1,Cc1c[nH]cn1,train,
2,Oc1cccc2C(=O)c3c(O)cccc3C(=O)c12,train,
3,CS(=O)(=O)N1N=CC(=C(Cl)C1=O)Cl,train,
4,CC1C=Cc2ccc3ccc4ccccc4c3c12,train,
5,O=C1c2ccccc2c3c1ccc4ccccc34,train,
6,[O-][N+](=O)c1cc(cs1)C(=O)Nc2ccccc2Br,train,
7,CN(CC(=O)C)N=O,train,
8,CCC(=C)C=O,train,
9,CNC(=O)ONC(=O)C,train,
10,CC(C)NC[C@@H](O)COc1cccc2C[C@@H](COc12)O[N+](=O)[O-],train,
11,COP(=S)(OC)Oc1ccc(N=O)c(C)c1,train,
12,Cn1cncc1[N+](=O)[O-],train,
13,Cc1cccc(NC(=O)c2csc(c2)[N+](=O)[O-])c1,train,
14,OC1CCN(CC1)N=O,train,
15,OC1CCC(O)(CN(N=O)C(C(=O)O)C(=O)O)C(O)C1O,train,
16,ClC1=C(Cl)C(=O)C(=C(Cl)C1=O)Cl,train,
17,CN1CC(CBr)CC2C1Cc3c[nH]c4cccc2c34,train,
18,NC(=S(=O)=O)N,train,
19,O=C(ON=C1C=CC(=NOC(=O)c2ccccc2)C=C1)c3ccccc3,train,
20,[O-][N+](=O)c1ccc(c2ccc(c(c2)[N+](=O)[O-])[N+](=O)[O-])c(c1)[N+](=O)[O-],train,
21,COc1cc(O)c2C(=O)c3c(O)cc(C)cc3C(=O)c2c1,train,
22,Nc1cc(Cl)ccc1[N+](=O)[O-],train,
23,Clc1cccc(Cl)n1,train,
24,CN(C)C(=S)SSC(=S)N(C)C,train,
25,COc1cc2c(CCNC(=O)C)c[nH]c2cc1O,train,
26,OC(=O)c1ccc(Cl)cc1Cl,train,
27,Cc1ccc(c(N)c1)[N+](=O)[O-],train,
28,CN(Cc1ccc(cc1)[N+](=O)[O-])N=O,train,
29,OS(=O)(=O)c1cccc2cccnc12,train,
30,CCOC(=O)N(CC)N=O,train,
31,[O-][N+](=O)c1cc2Oc3cc(Cl)c(Cl)cc3Oc2cc1Cl,train,
32,Oc1cc(Cl)cc(Cl)c1Cl,train,
33,Cc1cccc(OP(=O)(Oc2ccccc2)Oc3ccccc3)c1,train,
34,OC(=O)C=C(C(Cl)Cl)C(Cl)Cl,train,
35,CCOP(=S)(OCC)OCCSCC,train,
36,Cc1ccc(cc1[N+](=O)[O-])C(=O)O,train,
37,COP(=O)(OC)Oc1c(Cl)cc(C)cc1Cl,train,
38,CC(=O)Oc1ccccc1C(=O)Oc2ccccc2C(=O)O,train,
39,COC(=O)CC1Cc2cc3cc(OC)c(c(O)c3c(O)c2C(=O)O1)c4c(O)c5c(O)c6C(=O)OC(CC(=O)OC)Cc6cc5cc4OC,train,
40,C1Cc2cc3ccc4cccc5ccc(c2[C@@H]6O[C@H]16)c3c45,train,
41,C[C@@H](CC(=O)O)C(=O)O,train,
42,C[C@@H]1CCCCN1N=O,train,
43,CC(=O)OCc1occc1,train,
44,CCO,train,
45,CC1=CN(CC(O)CN=N#N)C(=O)NC1=O,train,
46,ClC(Cl)C(=O)C(Cl)Cl,train,
47,CC(=O)Nc1ccc(Sc2ccccc2)cc1,train,
48,OC1Cc2cc3ccc4cccc5ccc(c2C=C1)c3c45,train,
49,CC1(C)CC2C=C(C=O)C34CC3(C2C1)C(=O)OC4O,train,
50,CCCOC(=O)c1cc(Cc2ccc(N)c(c2)C(=O)OCCC)ccc1N,train,
51,CC(CN1CC(=O)NC(=O)C1)N2CC(=O)NC(=O)C2,train,
52,OC(=O)CCC(=O)O,train,
53,OC[C@@H]1SCCN1N=O,train,
54,[O-][N+](=O)c1ccc2[nH]c3ccc(cc3c2c1)[N+](=O)[O-],train,
55,CCOP(=O)(OCC)Oc1cc(on1)c2ccccc2,train,
56,Nc1nc2ncnc2c[nH]1,train,
57,C(OCC1CCC2OC2C1)C3CCC4OC4C3,train,
58,Sc1nc2ccccc2s1,train,
59,Oc1ccc2ccccc2n1,train,
60,[O-][N+](=O)c1ccccc1COC(=O)c2ccccc2,train,
61,NN1C(=O)c2ccccc2C1=O,train,
62,Fc1cnc2c(ccc3ccccc23)c1,train,
63,CC(\C=C(/C#N)\c1ccc(F)cc1)C(C(C#N)c2ccc(F)cc2)c3ccccc3,train,
64,CN(C)CCCNc1c2ccccc2nc3c(ccc(c13)[N+](=O)[O-])N(CCO)CCO,train,
65,COC(=O)c1oc(NO)c(c2ccccc2)c1c3ccccc3,train,
66,Clc1c2ccccc2cc3ccccc13,train,
67,Nc1ccc2C(=O)c3ccccc3C(=O)c2c1,train,
68,Clc1ccc(NS(=O)(=O)c2cccc3cccnc23)cc1,train,
69,Oc1cc(ccc1[N+](=O)[O-])[N+](=O)[O-],train,
70,Nc1cc2cccc3ccc4cccc1c4c23,train,
71,Nc1ccc(O)c(N)c1,train,
72,CCCCCCC(=O)O,train,
73,NC1CCN(C1)c2nc3N(C=C(C(=O)O)C(=O)c3cc2F)c4ccc(F)cc4F,train,
74,Cl[C@@H](Br)C#N,train,
75,O=C1c2ccccc2c3ccc4ccccc4c13,train,
76,OC(=O)c1cccc(c1)[N+](=O)[O-],train,
77,Nc1cc(Cl)c(Cl)c(Cl)c1,train,
78,CC1CCC(CC1)NC(=O)N(CCCl)N=O,train,
79,CC(C)[N+](=O)[O-],train,
80,CCCCCn1cc2C[C@@H]3[C@H](C=C(C)CN3C)c4cccc1c24,train,
81,CC(=O)C1=C(O)C=C(C)OC1=O,train,
82,C[C@H]1CC[C@@H]2[C@@H](C)[C@H]3[C@@H](C[C@H]4[C@@H]5CC=C6C[C@H](CC[C@]6(C)[C@H]5CC[C@]34C)O[C@@H]7O[C@H](CO)[C@H](O)[C@H](O[C@@H]8O[C@@H](CO)[C@@H](O)[C@@H](O)[C@H]8O)[C@@H]7O[C@@H]9O[C@@H](C)[C@H](O)[C@@H](O)[C@H]9O)N2C1,train,
83,CN1[C@@H]2C[C@@H](C[C@H]1[C@H]3O[C@@H]23)OC(=O)[C@@H](CO)c4ccccc4,train,
84,Cc1ccc(c(C)c1)[N+](=O)[O-],train,
85,CCCC(=O)Nc1snc2ccccc12,train,
86,ClCCCl,train,
87,Clc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,train,
88,CS(=O)(=O)OCCc1ccc(OCc2ccccc2)cc1,train,
89,CN1C(=O)CC(=O)N(c2ccccc2)c3cc(Cl)ccc13,train,
90,CC1=NN(C(=O)C1)c2ccccc2,train,
91,OC(=O)c1ccc(cc1)[N+](=O)[O-],train,
92,C[C@@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,train,
93,C[N+](C)(C)CC1CO1,train,
94,OC(C(F)(F)F)C(F)(F)F,train,
95,CSCCl,train,
96,CN(Cc1ccc(Cl)cc1)N=O,train,
97,CN(CCO)C(=O)Nc1ccc(Cl)c(Cl)c1,train,
98,N\C(=N/OC1OC(C(O)C(O)C1O)C(=O)O)\c2ccccc2,train,
99,O=C1NCCN1c2nccs2,train,
100,OC1=c2c(O)cc3cccc4ccc(c2c34)C56CCCCC15O6,train,
101,CC(=O)Nc1nc(\C=C/c2oc(cc2)[N+](=O)[O-])cs1,train,
102,C1CCCCCC2OC2CCCC1,train,
103,C1CCC(CC1)NC2CCCCC2,train,
104,COc1ccc2C[C@H]3N(C)CCc4cc(OC)c(Oc5c6OCOc6cc7CCN(C)[C@@H](Cc8ccc(Oc1c2)cc8)c57)cc34,train,
105,c1ccc2c(c1)ccc3cc4ccc5ccccc5c4cc23,train,
106,CCc1ccc(C)nc1,train,
107,NC(CCC(=O)NC(CSC(=O)NCCO)C(=O)NCC(=O)O)C(=O)O,train,
108,CC12CCC3C(CCC4CC(O)CCC34C)C1CCC(=O)N2,train,
109,ClC(Br)Br,train,
110,CCNc1cc2OC(=O)C=C(C)c2cc1C,train,
111,CC(CNC(=O)c1cccnc1)NC(=O)c2cccnc2,train,
112,CNC1CCc2cc(OC)c(OC)c(OC)c2C3=CC=C(OC)C(=O)C=C13,train,
113,COc1cccc2C(=O)c3c(O)c4C[C@](O)(C[C@H](O[C@H]5C[C@@H]([C@@H](O)[C@H](C)O5)N(C)C)c4c(O)c3C(=O)c12)C(=O)C,train,
114,N1[C@@H]2[C@H]1c3c(ccc4ccccc34)c5ccccc25,train,
115,CC(=CCC[C@@](C)(O)[C@H]1CCC=CC1=O)C,train,
116,NC(=O)C12OC1C(O)(NC2=O)c3ccccc3,train,
117,Cc1cccc2c(cccc12)[N+](=O)[O-],train,
118,COc1cc(OC)c2cc(c3c(cc4OCOc4c3c2c1)C(=O)O)[N+](=O)[O-],train,
119,[O-][N+](=O)c1cccc2c(Cl)nsc12,train,
120,Cc1cccn2c1nc3ccc(NO)nc23,train,
