,smiles,split,indices
0,CCCCOCCO,train,
1,Cc1cc2cccc3ccc4cc5ccccc5c1c4c23,train,
2,Oc1ccc(Nc2ccc3ccccc3c2)cc1,train,
3,CCN(N=O)C#N,train,
4,COC1=CC(=O)C(=O)C(=C1)C(C)(C)C,train,
5,BrC[C@](Br)(CCC#N)C#N,train,
6,ClC(Cl)(Cl)Cl,train,
7,O[C@@H]1OCC=C2OC(=O)C=C12,train,
8,Fc1ccccc1,train,
9,CSCCC=O,train,
10,BrC(Br)C(Br)Br,train,
11,Fc1cccc2cc3c(cc12)c4cccc5cccc3c45,train,
12,CC(=O)Nc1ccc(cc1)S(=O)(=O)c2ccc(N)cc2,train,
13,Brc1cc(Br)c(OCCOc2c(Br)cc(Br)cc2Br)c(Br)c1,train,
14,OC1OC(=O)C(=C1C(Br)Br)Cl,train,
15,O=C1CNC(=O)N1,train,
16,OC(=O)C1OC1C(=O)O,train,
17,Fc1ccccn1,train,
18,N#CSCSC#N,train,
19,Oc1ccccc1C=O,train,
20,OC(=O)CCCC[C@@H]1CCSS1,train,
21,CCOP(=S)(OCC)Oc1nc(Cl)n(n1)C(C)C,train,
22,CCN(CCCl)CCCNc1c2ccccc2nc3ccccc13,train,
23,Fc1cc2ccccc2c3ncccc13,train,
24,NCCCCC(N)C(=O)O,train,
25,Cc1ccc2nsc(NC(=O)CCl)c2c1,train,
26,Cn1c(N)nc2cc(ccc12)C#N,train,
27,[O-][N+](=O)c1ccccc1SSC(=C(Cl)Cl)F,train,
28,Cc1ccc2c(C)c3ccc4C(O)C(O)C=Cc4c3nc2c1,train,
29,Nc1cc(N)c(c2ccccc2)c(c1)[N+](=O)[O-],train,
30,Nc1c([nH]c2ccccc12)C(=O)N\N=C\c3ccccc3,train,
31,CC(C)OC(=O)Cc1ccccc1,train,
32,CC(C)CCNc1snc2ccccc12,train,
33,C[C@H]1C[C@H](OC(=O)C)O[C@H](C)O1,train,
34,Cc1cccc(OP(=O)(Oc2cccc(C)c2)Oc3cccc(C)c3)c1,train,
35,O=C1C(=O)c2cccc3cccc1c23,train,
36,CCCCN(CCO[N+](=O)[O-])[N+](=O)[O-],train,
37,Nc1ncnc2c1nc(c3ccc(cc3)[N+](=O)[O-])n2c4ccc(cc4)[N+](=O)[O-],train,
